UF,MUNICIPIO_NORM,LEITOS_SUS,POPULAÇÃO ESTIMADA,LEITOS_TOTAL_PER_THOUSAND
SP,jaci,173,7944.0,21.77744209466264
RS,sao joao do polesine,49,2708.0,18.09453471196455
SC,sao pedro de alcantara,108,6175.0,17.48987854251012
SP,divinolandia,186,11305.0,16.452896948252985
PR,jandaia do sul,352,21930.0,16.051071591427267
SC,lindoia do sul,70,4604.0,15.204170286707212
RS,paim filho,52,3685.0,14.111261872455902
RS,severiano de almeida,45,3463.0,12.994513427663875
RS,jaboticaba,45,3847.0,11.697426566155446
SC,modelo,47,4159.0,11.300793459966338
